4,2.66
6,2.38
8,1.84
10,1.35
12,1.23
14,1.48
16,2.00
18,2.54
20,2.62
22,2.38
24,2.34
26,2.77
28,3.96
30,6.05
32,8.63
34,11.83
36,15.67
38,19.00
40,21.74
42,24.49
44,26.58
46,28.10
48,29.35
50,29.66
52,29.91
54,30.39
56,29.86
58,29.03
60,28.40
62,27.30
64,26.23
66,25.34
68,24.22
70,23.17
72,22.20
74,21.18
76,20.23
78,19.35
80,18.57
82,17.84
84,17.03
86,16.16
88,15.31
90,14.50
92,13.77
94,13.10
96,12.51
98,11.97
100,11.45
102,11.01
104,10.61
106,10.19
108,9.77
110,9.34
112,8.89
114,8.50
116,8.15
118,6.92
120,3.64
122,0.75
124,0.03
