4,1.50
6,1.76
8,2.29
10,3.21
12,4.09
14,4.16
16,3.18
18,1.76
20,0.82
22,0.76
24,1.78
26,4.28
28,8.17
30,12.86
32,17.40
34,21.73
36,25.74
38,28.18
40,29.53
42,30.56
44,30.31
46,29.38
48,28.74
50,27.47
52,25.98
54,24.77
56,23.16
58,21.68
60,20.57
62,19.30
64,18.09
66,16.95
68,15.77
70,14.83
72,14.02
74,13.18
76,12.42
78,11.70
80,11.04
82,10.47
84,9.92
86,9.39
88,8.89
90,8.43
92,8.00
94,7.56
96,7.14
98,6.77
100,6.43
102,6.14
104,5.87
106,5.59
108,5.31
110,5.04
112,4.79
114,4.55
116,4.33
118,3.64
120,1.90
122,0.39
124,0.02
